Title_Item,Price,Original Price,description,time_of_published,status
GUCCI CHARM,58.0,777.0,"Reposhing this item I purchased from @eddylids17. Loved it, but ready to rotate for something new.

Questions? Leave a comment below!",2022-05-09T16:16:00-07:00,available
Jade and Diamond Ring 18 Kt white gold,3100.0,8000.0,This is a do you designers ring one of a kind the jade in the middle spins around and the Diamond on the side are beautiful and excellent ❤️comes with appraisal you will never find another one like this 💕,2020-03-12T12:57:08-07:00,available
Tanzanite and diamond ring,3800.0,4200.0,Tanzanite and diamond dinner ring beautiful everything is in the appraisal thanks for looking.❤️😊,2022-10-14T20:07:40-07:00,available
Coach Bag,199.0,777.0,Coach Leather Bag New Condition only used a fue times has a Beautiful Silver shine to the strap  and the Coach carriage on the flap really nice 👌👍,2020-07-29T15:26:42-07:00,available
Ted Baker Wallet,345.0,777.0,Beautiful te Ted Baker Wallet new never used has Beautiful crystal Closure on the wallet lots of compartments place for your money coins and cards really different has lots of details on the inside Just Beautiful 🤩 ❤️,2023-05-24T22:07:52-07:00,available
Ted Baker wallet on a chain,148.0,777.0,Ted Baker wallet on a chain great condition has 10 card slots and zipper for change can fit a smaller phone  has lots of room you will love this snap works great and zipper the chain is original,2022-12-02T12:18:27-08:00,available
Gladiators,98.0,777.0,Gladiators sandals good used condition only worn once  these Gladiators are Beautiful they are spade Leather with studs detail and feathers very stunning 😍,2021-08-15T14:37:45-07:00,available
Donald j PLiner  SANDLES,140.0,777.0,Donald j PLINER SANDLES l Like New Condition   Really cute and contrable,2021-08-18T18:18:40-07:00,available
Gucci swade Leather Boots.,298.0,777.0,Gucci swade Leather Boots in good used condition I just had the heal touched up on the right one  it’s hardly noticeable but I wanted to point that out  please look over the pictures closely before buying them  the inside is like new  and they are narrow  so please take all of this in consideration thank you for looking  these Boots run small more like a seven    Allow it says eight.,2023-03-16T12:17:10-07:00,available
KEDS  for KATE Spade,65.0,777.0,KEDS For Kate Spade  Shoes new great looking.,2023-03-23T08:07:40-07:00,available
Clarks. Sandels,78.0,777.0,Clarks. Leather sandals new never worn really have great support and are contrable and great quality .,2023-03-08T11:25:58-08:00,available
VINCE CAMUTO SANDLES,78.0,777.0,Vince camuto SANDELS  new never worn Beautiful color  great for spring and summer 😍,2023-04-26T11:35:20-07:00,available
Gianni Versace Hand Bag,600.0,2033.0,Gianni Versace couture ostrich  leather  Bag  no cracks in the leather just some marks that I posted and some small stains in the inside  witch can be cleaned  comes with receipt this bag is very pretty  all the gold tone hard ware is in great shape  has been put away thanks for looking .,2021-08-15T10:12:56-07:00,available
